,Race,Gender,Year,JobType
15741,White,Men,2007,Skilled
57409,White,Men,2007,Semi-Skilled
48160,White,Men,2007,Unskilled
81377,White,Women,2015,Unskilled
37629,White,Women,2007,Unskilled
15994,Minority,Women,2007,Unskilled
78570,White,Men,2015,Unskilled
22579,White,Men,2007,Unskilled
50574,Minority,Women,2015,Unskilled
72621,White,Men,2007,Unskilled
7249,White,Women,2007,Skilled
41456,Minority,Men,2007,Unskilled
52999,White,Men,2015,Unskilled
74092,White,Men,2007,Unskilled
39888,Minority,Men,2007,Unskilled
65487,White,Women,2015,Semi-Skilled
16077,White,Men,2007,Skilled
23721,Minority,Men,2015,Unskilled
18627,Minority,Women,2015,Unskilled
71288,White,Men,2015,Unskilled
32057,Minority,Men,2007,Unskilled
27617,White,Women,2007,Unskilled
74384,White,Men,2007,Unskilled
20755,White,Women,2015,Skilled
14974,White,Men,2007,Skilled
34263,Minority,Men,2007,Unskilled
2257,Minority,Men,2015,Skilled
50882,White,Men,2007,Unskilled
60668,White,Women,2007,Semi-Skilled
45117,Minority,Women,2007,Unskilled
63032,White,Men,2015,Semi-Skilled
23131,White,Men,2007,Unskilled
22179,Minority,Men,2007,Unskilled
48215,Minority,Men,2015,Unskilled
46790,White,Women,2015,Unskilled
37344,Minority,Men,2015,Unskilled
12736,Minority,Women,2015,Unskilled
73745,White,Men,2007,Unskilled
58903,White,Men,2007,Semi-Skilled
15685,White,Men,2007,Skilled
67045,White,Men,2007,Unskilled
60220,White,Women,2007,Semi-Skilled
29680,Minority,Men,2015,Semi-Skilled
51304,Minority,Women,2015,Unskilled
8255,Minority,Women,2007,Unskilled
37865,Minority,Men,2015,Unskilled
30455,Minority,Men,2015,Semi-Skilled
10267,Minority,Men,2015,Unskilled
49696,Minority,Women,2015,Unskilled
36859,Minority,Men,2015,Unskilled
44349,Minority,Women,2007,Unskilled
23221,Minority,Men,2015,Unskilled
46788,White,Women,2015,Unskilled
21940,Minority,Men,2007,Unskilled
43234,White,Women,2015,Unskilled
54003,White,Men,2015,Unskilled
43814,Minority,Women,2007,Unskilled
32719,Minority,Men,2007,Unskilled
18910,White,Men,2015,Skilled
7020,Minority,Men,2007,Unskilled
71029,White,Men,2015,Unskilled
18434,Minority,Women,2015,Unskilled
55502,White,Men,2007,Semi-Skilled
53927,White,Men,2015,Unskilled
31715,Minority,Women,2015,Semi-Skilled
36346,Minority,Men,2015,Unskilled
8963,White,Men,2015,Skilled
29075,White,Men,2015,Unskilled
36112,Minority,Men,2015,Unskilled
39658,White,Women,2007,Unskilled
30088,White,Men,2015,Unskilled
5522,White,Men,2007,Skilled
51342,White,Men,2007,Unskilled
22498,Minority,Men,2007,Unskilled
17104,Minority,Men,2015,Unskilled
71654,White,Women,2015,Unskilled
19595,White,Men,2015,Skilled
67374,White,Men,2007,Unskilled
50622,Minority,Women,2015,Unskilled
39413,White,Women,2007,Unskilled
10460,Minority,Men,2015,Unskilled
34477,Minority,Men,2007,Unskilled
49518,White,Men,2007,Unskilled
44288,White,Women,2015,Unskilled
15411,White,Men,2007,Skilled
13390,Minority,Men,2007,Unskilled
82498,White,Women,2015,Unskilled
21542,White,Men,2007,Unskilled
74976,White,Women,2007,Unskilled
9408,White,Men,2015,Skilled
2634,Minority,Men,2015,Skilled
1842,Minority,Men,2015,Skilled
8284,Minority,Women,2007,Unskilled
36617,White,Women,2007,Unskilled
51510,White,Men,2007,Unskilled
47900,Minority,Men,2015,Unskilled
31195,Minority,Women,2015,Semi-Skilled
52467,Minority,Women,2015,Unskilled
17666,White,Women,2007,Skilled
40740,Minority,Men,2007,Unskilled
39896,White,Women,2007,Unskilled
37427,Minority,Men,2015,Unskilled
22682,White,Men,2007,Unskilled
83617,White,Women,2015,Unskilled
6932,White,Women,2007,Skilled
68356,White,Women,2007,Unskilled
59763,White,Women,2007,Semi-Skilled
15960,White,Men,2007,Skilled
2014,White,Men,2015,Skilled
19178,White,Men,2015,Skilled
64086,White,Men,2015,Semi-Skilled
63982,White,Men,2015,Semi-Skilled
25891,Minority,Men,2007,Semi-Skilled
558,Minority,Men,2007,Skilled
67270,White,Men,2007,Unskilled
40113,Minority,Men,2007,Unskilled
37765,White,Women,2007,Unskilled
58024,White,Men,2007,Semi-Skilled
69758,White,Men,2015,Unskilled
28763,Minority,Men,2015,Semi-Skilled
82491,White,Women,2015,Unskilled
77271,White,Women,2007,Unskilled
82642,White,Women,2015,Unskilled
53417,White,Men,2015,Unskilled
31109,Minority,Women,2015,Semi-Skilled
58972,White,Men,2007,Semi-Skilled
57757,White,Men,2007,Semi-Skilled
44207,White,Women,2015,Unskilled
77716,White,Women,2007,Unskilled
21704,Minority,Men,2007,Unskilled
32325,White,Women,2015,Unskilled
34843,Minority,Women,2007,Unskilled
11147,Minority,Women,2015,Unskilled
60955,White,Women,2007,Semi-Skilled
26981,White,Women,2007,Unskilled
8563,White,Men,2015,Skilled
31545,Minority,Women,2015,Semi-Skilled
83276,White,Women,2015,Unskilled
3825,Minority,Men,2007,Skilled
39787,White,Women,2007,Unskilled
21850,White,Men,2007,Unskilled
696,Minority,Men,2007,Skilled
28882,Minority,Men,2015,Semi-Skilled
36973,Minority,Men,2015,Unskilled
52348,White,Men,2015,Unskilled
39085,White,Women,2007,Unskilled
76497,White,Women,2007,Unskilled
47844,White,Women,2015,Unskilled
23352,Minority,Men,2015,Unskilled
36471,Minority,Men,2015,Unskilled
77650,White,Women,2007,Unskilled
33811,Minority,Men,2007,Unskilled
80800,White,Women,2015,Unskilled
7796,Minority,Men,2007,Unskilled
51131,White,Men,2007,Unskilled
81455,White,Women,2015,Unskilled
41994,Minority,Men,2007,Unskilled
73951,White,Men,2007,Unskilled
14149,White,Women,2015,Skilled
70739,White,Men,2015,Unskilled
22251,White,Men,2007,Unskilled
50523,White,Men,2007,Unskilled
1406,Minority,Women,2007,Skilled
75105,White,Women,2007,Unskilled
26345,Minority,Men,2007,Semi-Skilled
40635,Minority,Men,2007,Unskilled
54701,White,Men,2015,Unskilled
48839,Minority,Women,2015,Unskilled
57940,White,Men,2007,Semi-Skilled
18281,Minority,Women,2015,Unskilled
29426,White,Men,2015,Unskilled
37934,Minority,Men,2015,Unskilled
11526,Minority,Women,2015,Unskilled
38152,White,Women,2007,Unskilled
31297,Minority,Women,2015,Semi-Skilled
59833,White,Women,2007,Semi-Skilled
15502,White,Men,2007,Skilled
79969,White,Men,2015,Unskilled
16019,Minority,Women,2007,Unskilled
37224,White,Women,2007,Unskilled
10579,Minority,Men,2015,Unskilled
12509,Minority,Women,2015,Unskilled
13349,White,Women,2015,Skilled
43916,White,Women,2015,Unskilled
78230,White,Women,2007,Unskilled
13989,White,Women,2015,Skilled
39,Minority,Men,2007,Skilled
25664,White,Women,2007,Unskilled
36433,Minority,Men,2015,Unskilled
68779,White,Women,2007,Unskilled
25512,Minority,Men,2007,Semi-Skilled
75487,White,Women,2007,Unskilled
1314,Minority,Women,2007,Skilled
76361,White,Women,2007,Unskilled
47066,White,Women,2015,Unskilled
14315,White,Women,2015,Skilled
82084,White,Women,2015,Unskilled
73021,White,Men,2007,Unskilled
64061,White,Men,2015,Semi-Skilled
30278,White,Men,2015,Unskilled
861,White,Men,2007,Skilled
31430,White,Women,2015,Unskilled
8844,White,Men,2015,Skilled
41818,White,Men,2015,Unskilled
71096,White,Men,2015,Unskilled
22708,Minority,Women,2007,Unskilled
32046,White,Women,2015,Unskilled
42192,Minority,Men,2007,Unskilled
47347,Minority,Men,2015,Unskilled
18218,Minority,Women,2015,Unskilled
37458,White,Women,2007,Unskilled
57333,White,Men,2007,Semi-Skilled
33020,Minority,Men,2007,Unskilled
64212,White,Men,2015,Semi-Skilled
84199,White,Women,2015,Unskilled
14580,White,Women,2015,Skilled
1653,White,Men,2015,Skilled
64693,White,Men,2015,Semi-Skilled
24681,Minority,Men,2007,Semi-Skilled
