hotel_name,review_id,attribute,star_value
"Marriott Vacation Club Pulse at Custom House, Boston",review_310749099,Value,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_310749099,Sleep Quality,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_310749099,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_307346616,Sleep Quality,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_307346616,Cleanliness,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_307346616,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_304223994,Value,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_304223994,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_301070412,Location,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_301070412,Cleanliness,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_301070412,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_298983350,Location,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_298983350,Cleanliness,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_298983350,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_298759048,Sleep Quality,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_298759048,Rooms,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_298759048,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_298477912,Location,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_298477912,Rooms,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_298477912,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_295410467,Location,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_295410467,Sleep Quality,4 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_295410467,Service,4 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_292977910,Value,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_292977910,Cleanliness,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_292977910,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_290881078,Rooms,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_290881078,Cleanliness,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_290881078,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_290088707,Value,3 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_290088707,Sleep Quality,4 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_290088707,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_289945650,Sleep Quality,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_289945650,Cleanliness,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_289945650,Service,5 of 5 bubbles
"Marriott Vacation Club Pulse at Custom House, Boston",review_287013375,Location,5 of 5 bubbles
